slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,grouping
500,-33.64573287963867,-34.00000000000165,0.3542671203629766,0.12550519257027573,4.821455622293863e-05,0.027757883071899414,5
501,-33.594390869140625,-34.00000000000165,0.40560913086102346,0.16451876703783486,4.821455622293863e-05,0.02325892448425293,5
502,-33.57477951049805,-34.00000000000165,0.4252204895036016,0.18081246469368253,4.821455622293863e-05,0.02555704116821289,5
503,-33.583534240722656,-34.00000000000165,0.4164657592789922,0.17344372865182747,4.821455622293863e-05,0.02141094207763672,5
504,-33.61421585083008,-34.00000000000165,0.38578414917157033,0.14882940975203243,4.821455622293863e-05,0.02897930145263672,5
505,-33.621639251708984,-34.00000000000165,0.3783607482926641,0.1431568558485847,4.821455622293863e-05,0.02383899688720703,5
506,-33.63622283935547,-34.00000000000165,0.3637771606461797,0.13233382260779644,4.821455622293863e-05,0.027487993240356445,5
507,-33.70590591430664,-34.00000000000165,0.29409408569500783,0.0864913312407826,4.821455622293863e-05,0.034738779067993164,5
508,-33.847023010253906,-34.00000000000165,0.1529769897477422,0.023401959392280826,4.821455622293863e-05,0.02974104881286621,5
509,-33.98319625854492,-34.00000000000165,0.016803741456726584,0.00028236572694451166,4.821455622293863e-05,0.021562814712524414,5
510,-34.09623336791992,-34.00000000000165,0.09623336791827342,0.009260861100893775,4.821455622293863e-05,0.024467945098876953,5
511,-34.16078567504883,-34.50000000000165,0.33921432495282033,0.11506635825319758,4.821455622293863e-05,0.027270078659057617,5
512,-34.16646194458008,-34.50000000000165,0.33353805542157033,0.11124763441440252,4.821455622293863e-05,0.02667379379272461,5
513,-34.16707992553711,-34.50000000000165,0.3329200744645391,0.11083577598147425,4.821455622293863e-05,0.026726961135864258,5
514,-34.147945404052734,-34.50000000000165,0.3520545959489141,0.12394243852875315,4.821455622293863e-05,0.026658058166503906,5
515,-34.078887939453125,-34.00000000000165,0.07888793945147654,0.006223306990899829,4.821455622293863e-05,0.028611183166503906,5
516,-34.06654357910156,-34.50000000000165,0.43345642090008596,0.18788446881951248,4.821455622293863e-05,0.028260231018066406,5
517,-34.044891357421875,-34.00000000000165,0.04489135742022654,0.0020152339710305285,4.821455622293863e-05,0.02581310272216797,5
518,-33.96067428588867,-34.00000000000165,0.039325714112976584,0.0015465117904955657,4.821455622293863e-05,0.025995969772338867,5
519,-33.93928527832031,-34.00000000000165,0.06071472168133596,0.003686277428842087,4.821455622293863e-05,0.029914140701293945,5
520,-33.97819519042969,-34.00000000000165,0.02180480957196096,0.00047544972046948027,4.821455622293863e-05,0.026249170303344727,5
521,-33.94678497314453,-34.00000000000165,0.05321502685711721,0.002831839083403706,4.821455622293863e-05,0.02555704116821289,5
522,-33.98751449584961,-34.00000000000165,0.012485504152039084,0.0001558878139305852,4.821455622293863e-05,0.026694059371948242,5
523,-34.06456756591797,-34.00000000000165,0.06456756591632029,0.004168970568358366,4.821455622293863e-05,0.025254011154174805,5
524,-34.11585235595703,-34.00000000000165,0.11585235595538279,0.013421768380412718,4.821455622293863e-05,0.021203994750976562,5
