slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,n_select,group_size,num_groups
500,-33.673912048339844,-34.00000000000165,0.3260879516618047,0.10633335221899148,9.680253913603634e-05,0.036852121353149414,20,5,4
501,-33.649784088134766,-34.00000000000165,0.35021591186688283,0.12265118492475224,9.680253913603634e-05,0.04050397872924805,20,5,4
502,-33.67081832885742,-34.00000000000165,0.3291816711442266,0.10836057261730574,9.680253913603634e-05,0.03027200698852539,20,5,4
503,-33.689842224121094,-34.00000000000165,0.3101577758805547,0.09619784593917241,9.680253913603634e-05,0.04301309585571289,20,5,4
504,-33.70343780517578,-34.00000000000165,0.2965621948258672,0.08794913539993562,9.680253913603634e-05,0.03487396240234375,20,5,4
505,-33.653724670410156,-34.00000000000165,0.3462753295914922,0.11990660388369656,9.680253913603634e-05,0.055563926696777344,20,5,4
506,-33.66730880737305,-34.00000000000165,0.3326911926286016,0.11068342965264129,9.680253913603634e-05,0.04137015342712402,20,5,4
507,-33.72909164428711,-34.00000000000165,0.2709083557145391,0.07339133719595524,9.680253913603634e-05,0.03332090377807617,20,5,4
508,-33.904788970947266,-34.00000000000165,0.09521102905438283,0.009065140053594533,9.680253913603634e-05,0.03376197814941406,20,5,4
509,-34.055023193359375,-34.00000000000165,0.05502319335772654,0.003027551807281762,9.680253913603634e-05,0.034522294998168945,20,5,4
510,-34.17616271972656,-34.00000000000165,0.17616271972491404,0.03103330382087862,9.680253913603634e-05,0.047165870666503906,20,5,4
511,-34.25522232055664,-34.50000000000165,0.24477767944500783,0.05991611235448301,9.680253913603634e-05,0.02370619773864746,20,5,4
512,-34.249629974365234,-34.50000000000165,0.2503700256364141,0.06268514973717865,9.680253913603634e-05,0.03299403190612793,20,5,4
513,-34.222965240478516,-34.00000000000165,0.22296524047686717,0.0497134984609072,9.680253913603634e-05,0.04325389862060547,20,5,4
514,-34.217987060546875,-34.00000000000165,0.21798706054522654,0.04751835856514826,9.680253913603634e-05,0.03081488609313965,20,5,4
515,-34.17597198486328,-34.00000000000165,0.1759719848616328,0.03096613945614272,9.680253913603634e-05,0.04819297790527344,20,5,4
516,-34.181793212890625,-34.00000000000165,0.18179321288897654,0.03304877225249674,9.680253913603634e-05,0.032401084899902344,20,5,4
517,-34.18177032470703,-34.00000000000165,0.1817703247053828,0.03304045094350029,9.680253913603634e-05,0.046582937240600586,20,5,4
518,-34.10171127319336,-34.00000000000165,0.10171127319171092,0.010345183094278851,9.680253913603634e-05,0.024928808212280273,20,5,4
519,-34.093170166015625,-34.00000000000165,0.09317016601397654,0.00868067983507195,9.680253913603634e-05,0.03653979301452637,20,5,4
520,-34.11021041870117,-34.00000000000165,0.11021041869952342,0.01214633638992426,9.680253913603634e-05,0.034397125244140625,20,5,4
521,-33.98642349243164,-34.00000000000165,0.013576507570007834,0.00018432155779848003,9.680253913603634e-05,0.03842902183532715,20,5,4
522,-33.95479202270508,-34.00000000000165,0.045207977296570334,0.0020437612112472188,9.680253913603634e-05,0.045614004135131836,20,5,4
523,-34.02223205566406,-34.00000000000165,0.02223205566241404,0.0004942642989766762,9.680253913603634e-05,0.028825044631958008,20,5,4
524,-34.07330322265625,-34.00000000000165,0.07330322265460154,0.005373362451550089,9.680253913603634e-05,0.0385129451751709,20,5,4
525,-34.097225189208984,-34.00000000000165,0.09722518920733592,0.009452737416402268,9.680253913603634e-05,0.05348777770996094,20,5,4
526,-34.19638442993164,-34.00000000000165,0.19638442992999217,0.038566844318928005,9.680253913603634e-05,0.03148603439331055,20,5,4
527,-34.18785858154297,-34.00000000000165,0.1878585815413203,0.03529084665871689,9.680253913603634e-05,0.03626298904418945,20,5,4
528,-34.24238586425781,-34.50000000000165,0.25761413574383596,0.06636504293504354,9.680253913603634e-05,0.03293490409851074,20,5,4
529,-34.17191696166992,-34.50000000000165,0.3280830383317266,0.10763848004097717,9.680253913603634e-05,0.03735494613647461,20,5,4
530,-34.0984992980957,-34.50000000000165,0.40150070190594533,0.16120281363096678,9.680253913603634e-05,0.05358624458312988,20,5,4
531,-34.10594177246094,-34.50000000000165,0.39405822754071096,0.15528188669252674,9.680253913603634e-05,0.0342710018157959,20,5,4
532,-34.28181457519531,-34.50000000000165,0.21818542480633596,0.047604879597921285,9.680253913603634e-05,0.034937143325805664,20,5,4
533,-34.067081451416016,-34.50000000000165,0.43291854858563283,0.18741846970949094,9.680253913603634e-05,0.047627925872802734,20,5,4
534,-34.02242660522461,-34.00000000000165,0.022426605222960916,0.0005029526218265378,9.680253913603634e-05,0.038130998611450195,20,5,4
535,-34.12894058227539,-34.50000000000165,0.37105941772625783,0.1376850914833495,9.680253913603634e-05,0.05133628845214844,20,5,4
536,-34.311946868896484,-34.50000000000165,0.18805313110516408,0.03536398011845603,9.680253913603634e-05,0.026983976364135742,20,5,4
537,-34.227745056152344,-34.50000000000165,0.2722549438493047,0.07412275445038806,9.680253913603634e-05,0.045870065689086914,20,5,4
538,-34.262718200683594,-34.50000000000165,0.2372817993180547,0.05630265228761359,9.680253913603634e-05,0.026844024658203125,20,5,4
539,-34.22017288208008,-34.50000000000165,0.27982711792157033,0.07830321592429243,9.680253913603634e-05,0.034815073013305664,20,5,4
540,-34.09284973144531,-34.00000000000165,0.09284973144366404,0.008621072629160535,9.680253913603634e-05,0.029906749725341797,20,5,4
541,-33.984432220458984,-34.00000000000165,0.015567779542664084,0.00024235575988899036,9.680253913603634e-05,0.03433823585510254,20,5,4
542,-33.98197937011719,-34.00000000000165,0.01802062988446096,0.0003247431014327274,9.680253913603634e-05,0.05729985237121582,20,5,4
543,-33.90985870361328,-34.00000000000165,0.09014129638836721,0.008125453314575462,9.680253913603634e-05,0.03100275993347168,20,5,4
544,-33.917667388916016,-34.00000000000165,0.08233261108563283,0.006778658848178071,9.680253913603634e-05,0.04325580596923828,20,5,4
545,-33.95234298706055,-34.00000000000165,0.047657012941101584,0.002271190882468324,9.680253913603634e-05,0.027917146682739258,20,5,4
546,-33.90568161010742,-34.00000000000165,0.09431838989422658,0.008895958672239343,9.680253913603634e-05,0.03582000732421875,20,5,4
547,-33.873695373535156,-34.00000000000165,0.1263046264664922,0.015952858666840125,9.680253913603634e-05,0.027366161346435547,20,5,4
548,-33.84666442871094,-34.00000000000165,0.15333557129071096,0.0235117974230487,9.680253913603634e-05,0.04607105255126953,20,5,4
549,-33.6818962097168,-33.500000000001656,0.1818962097151413,0.03308623110873467,9.680253913603634e-05,0.045801401138305664,20,5,4
550,-33.51084518432617,-33.500000000001656,0.01084518432451631,0.0001176180230327343,9.680253913603634e-05,0.03763413429260254,20,5,4
551,-33.44307327270508,-33.500000000001656,0.05692672729657744,0.003240652280698895,9.680253913603634e-05,0.03178811073303223,20,5,4
552,-33.45772933959961,-33.500000000001656,0.04227066040204619,0.0017868087308251157,9.680253913603634e-05,0.031803131103515625,20,5,4
553,-33.60607147216797,-34.00000000000165,0.3939285278336797,0.15517968504121016,9.680253913603634e-05,0.046192169189453125,20,5,4
554,-33.77862548828125,-34.00000000000165,0.22137451172039846,0.049006674439444835,9.680253913603634e-05,0.03859877586364746,20,5,4
555,-33.86238098144531,-34.00000000000165,0.13761901855633596,0.018938994268409143,9.680253913603634e-05,0.025665998458862305,20,5,4
556,-33.847015380859375,-34.00000000000165,0.15298461914227346,0.023404293694106463,9.680253913603634e-05,0.06809806823730469,20,5,4
557,-33.775428771972656,-34.00000000000165,0.2245712280289922,0.05043223645844962,9.680253913603634e-05,0.02414703369140625,20,5,4
558,-33.67527770996094,-34.00000000000165,0.32472229004071096,0.10544456564928362,9.680253913603634e-05,0.031049013137817383,20,5,4
559,-33.64892578125,-34.00000000000165,0.35107421875164846,0.12325310707208031,9.680253913603634e-05,0.03448176383972168,20,5,4
