slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,selection_method,n_select,group_size,num_groups
500,-33.60468292236328,-34.00000000000165,0.3953170776383672,0.15627559187253884,8.82993261498141e-05,0.02851414680480957,fim,20,5,4
501,-33.55828094482422,-34.00000000000165,0.4417190551774297,0.1951157237068412,8.82993261498141e-05,0.01979684829711914,fim,20,5,4
502,-33.52312469482422,-34.00000000000165,0.4768753051774297,0.22741005668806671,8.82993261498141e-05,0.03448915481567383,fim,20,5,4
503,-33.51896667480469,-34.00000000000165,0.48103332519696096,0.2313930599500452,8.82993261498141e-05,0.01895594596862793,fim,20,5,4
504,-33.544837951660156,-34.00000000000165,0.4551620483414922,0.2071724902504229,8.82993261498141e-05,0.028431177139282227,fim,20,5,4
505,-33.529541015625,-33.500000000001656,0.029541015623344435,0.00087267160405868,8.82993261498141e-05,0.017457246780395508,fim,20,5,4
506,-33.523597717285156,-33.500000000001656,0.023597717283500685,0.000556852260992027,8.82993261498141e-05,0.023979663848876953,fim,20,5,4
507,-33.61857604980469,-34.00000000000165,0.38142395019696096,0.14548422978385375,8.82993261498141e-05,0.01757192611694336,fim,20,5,4
508,-33.82957077026367,-34.00000000000165,0.17042922973797658,0.02904612234908,8.82993261498141e-05,0.020960092544555664,fim,20,5,4
509,-33.986717224121094,-34.00000000000165,0.01328277588055471,0.00017643213509304593,8.82993261498141e-05,0.028199195861816406,fim,20,5,4
510,-34.10200881958008,-34.50000000000165,0.39799118042157033,0.15839697969335495,8.82993261498141e-05,0.02616286277770996,fim,20,5,4
511,-34.151695251464844,-34.50000000000165,0.3483047485368047,0.12131619785328676,8.82993261498141e-05,0.021516084671020508,fim,20,5,4
512,-34.16952133178711,-34.50000000000165,0.3304786682145391,0.1092161501448554,8.82993261498141e-05,0.018253087997436523,fim,20,5,4
513,-34.15714645385742,-34.50000000000165,0.3428535461442266,0.11754855410367131,8.82993261498141e-05,0.01889824867248535,fim,20,5,4
514,-34.16204833984375,-34.50000000000165,0.33795166015789846,0.11421132460347969,8.82993261498141e-05,0.029113054275512695,fim,20,5,4
515,-34.11058807373047,-34.00000000000165,0.11058807372882029,0.012229722051050993,8.82993261498141e-05,0.020348072052001953,fim,20,5,4
516,-34.13111877441406,-34.50000000000165,0.36888122558758596,0.13607335859099948,8.82993261498141e-05,0.023663997650146484,fim,20,5,4
517,-34.13568878173828,-34.00000000000165,0.1356887817366328,0.018411445489171573,8.82993261498141e-05,0.020653963088989258,fim,20,5,4
518,-34.10231018066406,-34.00000000000165,0.10231018066241404,0.0104673730671758,8.82993261498141e-05,0.01729416847229004,fim,20,5,4
519,-34.087982177734375,-34.00000000000165,0.08798217773272654,0.007740863598593082,8.82993261498141e-05,0.023839950561523438,fim,20,5,4
520,-34.07767868041992,-34.00000000000165,0.07767868041827342,0.006033977391524254,8.82993261498141e-05,0.025846004486083984,fim,20,5,4
521,-33.985042572021484,-34.00000000000165,0.014957427980164084,0.00022372465178179543,8.82993261498141e-05,0.016733884811401367,fim,20,5,4
522,-33.93431091308594,-34.00000000000165,0.06568908691571096,0.004315056139819829,8.82993261498141e-05,0.017899036407470703,fim,20,5,4
523,-33.92924499511719,-34.00000000000165,0.07075500488446096,0.005006270716200094,8.82993261498141e-05,0.01895284652709961,fim,20,5,4
524,-33.93962478637695,-34.00000000000165,0.060375213624695334,0.003645166420227597,8.82993261498141e-05,0.020412921905517578,fim,20,5,4
525,-33.915069580078125,-34.00000000000165,0.08493041992352346,0.0072131762283860305,8.82993261498141e-05,0.025822877883911133,fim,20,5,4
526,-33.93132781982422,-34.00000000000165,0.06867218017742971,0.00471586833032137,8.82993261498141e-05,0.015873193740844727,fim,20,5,4
527,-33.88250732421875,-34.00000000000165,0.11749267578289846,0.013804528862625294,8.82993261498141e-05,0.04126381874084473,fim,20,5,4
528,-33.95573043823242,-34.50000000000165,0.5442695617692266,0.29622935586846594,8.82993261498141e-05,0.018171310424804688,fim,20,5,4
529,-33.92964172363281,-34.50000000000165,0.570358276368836,0.3253085634224295,8.82993261498141e-05,0.0171511173248291,fim,20,5,4
530,-33.94871139526367,-34.50000000000165,0.5512886047379766,0.30391912571394497,8.82993261498141e-05,0.01624608039855957,fim,20,5,4
531,-33.996253967285156,-34.50000000000165,0.5037460327164922,0.2537600654776052,8.82993261498141e-05,0.017496824264526367,fim,20,5,4
532,-34.20396423339844,-34.50000000000165,0.29603576660321096,0.0876371751083508,8.82993261498141e-05,0.020054101943969727,fim,20,5,4
533,-34.167457580566406,-34.50000000000165,0.3325424194352422,0.11058446072384455,8.82993261498141e-05,0.016158103942871094,fim,20,5,4
534,-34.15593719482422,-34.50000000000165,0.3440628051774297,0.11837921390656195,8.82993261498141e-05,0.026485204696655273,fim,20,5,4
535,-34.237648010253906,-34.50000000000165,0.2623519897477422,0.06882856652459943,8.82993261498141e-05,0.01939105987548828,fim,20,5,4
536,-34.35743713378906,-34.50000000000165,0.14256286621258596,0.02032417082274768,8.82993261498141e-05,0.018313169479370117,fim,20,5,4
537,-34.26865005493164,-34.50000000000165,0.23134994507000783,0.053522797083895644,8.82993261498141e-05,0.01663494110107422,fim,20,5,4
538,-34.29426193237305,-34.50000000000165,0.20573806762860158,0.04232815247155104,8.82993261498141e-05,0.01881098747253418,fim,20,5,4
539,-34.287635803222656,-34.50000000000165,0.2123641967789922,0.045098552073586526,8.82993261498141e-05,0.016375064849853516,fim,20,5,4
540,-34.203678131103516,-34.00000000000165,0.20367813110186717,0.04148478108914939,8.82993261498141e-05,0.016914844512939453,fim,20,5,4
541,-34.123477935791016,-34.00000000000165,0.12347793578936717,0.015246800626803081,8.82993261498141e-05,0.017031192779541016,fim,20,5,4
542,-34.134944915771484,-34.00000000000165,0.13494491576983592,0.01821013029212811,8.82993261498141e-05,0.019336223602294922,fim,20,5,4
543,-34.06144332885742,-34.00000000000165,0.061443328855773416,0.003775282660878718,8.82993261498141e-05,0.023507118225097656,fim,20,5,4
544,-34.064109802246094,-34.00000000000165,0.06410980224444529,0.0041100667438218825,8.82993261498141e-05,0.01699209213256836,fim,20,5,4
545,-34.08245849609375,-34.00000000000165,0.08245849609210154,0.006799403577771125,8.82993261498141e-05,0.019505739212036133,fim,20,5,4
