slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,selection_method,n_select,group_size,num_groups
500,-33.449981689453125,-34.00000000000165,0.5500183105485235,0.302520141938652,0.00014683309807834855,0.0355830192565918,corr,40,5,8
501,-33.43927764892578,-34.00000000000165,0.5607223510758672,0.31440955499604806,0.00014683309807834855,0.03190803527832031,corr,40,5,8
502,-33.40568542480469,-34.00000000000165,0.594314575196961,0.3532098142915442,0.00014683309807834855,0.0356287956237793,corr,40,5,8
503,-33.394996643066406,-34.00000000000165,0.6050033569352422,0.36602906190291207,0.00014683309807834855,0.034883737564086914,corr,40,5,8
504,-33.41411209106445,-34.00000000000165,0.5858879089371953,0.3432646418387993,0.00014683309807834855,0.03899192810058594,corr,40,5,8
505,-33.369178771972656,-34.00000000000165,0.6308212280289922,0.3979354217320058,0.00014683309807834855,0.03533792495727539,corr,40,5,8
506,-33.38520812988281,-34.00000000000165,0.614791870118836,0.3779690435642157,0.00014683309807834855,0.03964686393737793,corr,40,5,8
507,-33.479148864746094,-34.00000000000165,0.5208511352555547,0.2712859050970001,0.00014683309807834855,0.036286115646362305,corr,40,5,8
508,-33.68027114868164,-34.00000000000165,0.31972885132000783,0.10222653836641167,0.00014683309807834855,0.04191112518310547,corr,40,5,8
509,-33.857032775878906,-34.00000000000165,0.1429672241227422,0.020439627173362403,0.00014683309807834855,0.03881216049194336,corr,40,5,8
510,-33.97184753417969,-34.00000000000165,0.02815246582196096,0.0007925613318566799,0.00014683309807834855,0.03571724891662598,corr,40,5,8
511,-34.05074691772461,-34.00000000000165,0.050746917722960916,0.0025752496583809647,0.00014683309807834855,0.04858684539794922,corr,40,5,8
512,-34.0758171081543,-34.00000000000165,0.07581710815264842,0.0057482338886303865,0.00014683309807834855,0.03431987762451172,corr,40,5,8
513,-34.06924819946289,-34.00000000000165,0.06924819946124217,0.004795313128623979,0.00014683309807834855,0.03323483467102051,corr,40,5,8
514,-34.06681442260742,-34.00000000000165,0.06681442260577342,0.004464167068142885,0.00014683309807834855,0.03706192970275879,corr,40,5,8
515,-34.023014068603516,-34.00000000000165,0.023014068601867166,0.0005296473536114481,0.00014683309807834855,0.034777164459228516,corr,40,5,8
516,-34.027835845947266,-34.00000000000165,0.027835845945617166,0.0007748343195081316,0.00014683309807834855,0.039266109466552734,corr,40,5,8
517,-34.01351547241211,-34.00000000000165,0.013515472410460916,0.0001826679944779302,0.00014683309807834855,0.035041093826293945,corr,40,5,8
518,-33.93355941772461,-34.00000000000165,0.06644058227703908,0.004414350973312,0.00014683309807834855,0.027962923049926758,corr,40,5,8
519,-33.89833068847656,-34.00000000000165,0.10166931152508596,0.010336648905984977,0.00014683309807834855,0.03358888626098633,corr,40,5,8
520,-33.89225769042969,-34.00000000000165,0.10774230957196096,0.01160840527190027,0.00014683309807834855,0.03534197807312012,corr,40,5,8
521,-33.78900146484375,-34.00000000000165,0.21099853515789846,0.04452038183877891,0.00014683309807834855,0.03812217712402344,corr,40,5,8
522,-33.78553771972656,-34.00000000000165,0.21446228027508596,0.045994069660789526,0.00014683309807834855,0.03622007369995117,corr,40,5,8
523,-33.872554779052734,-34.00000000000165,0.12744522094891408,0.01624228434271753,0.00014683309807834855,0.03326416015625,corr,40,5,8
524,-33.91478729248047,-34.00000000000165,0.08521270752117971,0.007261205523090117,0.00014683309807834855,0.04632997512817383,corr,40,5,8
525,-33.92226028442383,-34.00000000000165,0.07773971557782033,0.006043463378120401,0.00014683309807834855,0.033930063247680664,corr,40,5,8
526,-33.996341705322266,-34.00000000000165,0.003658294679382834,1.3383119961200753e-05,0.00014683309807834855,0.03497123718261719,corr,40,5,8
527,-33.96794128417969,-34.00000000000165,0.03205871582196096,0.00102776126015325,0.00014683309807834855,0.03399991989135742,corr,40,5,8
528,-34.028202056884766,-34.50000000000165,0.47179794311688283,0.2225932991293214,0.00014683309807834855,0.036972999572753906,corr,40,5,8
529,-34.0395393371582,-34.00000000000165,0.039539337156554666,0.0015633591827797044,0.00014683309807834855,0.03436899185180664,corr,40,5,8
530,-34.01563262939453,-34.50000000000165,0.4843673706071172,0.23461174970885243,0.00014683309807834855,0.03559708595275879,corr,40,5,8
531,-34.0293083190918,-34.50000000000165,0.4706916809098516,0.22155065847774155,0.00014683309807834855,0.032767295837402344,corr,40,5,8
532,-34.23918151855469,-34.50000000000165,0.26081848144696096,0.06802628026429872,0.00014683309807834855,0.03308391571044922,corr,40,5,8
533,-34.11653518676758,-34.50000000000165,0.38346481323407033,0.14704526298864043,0.00014683309807834855,0.03506803512573242,corr,40,5,8
534,-34.08345031738281,-34.00000000000165,0.08345031738116404,0.006963955471017009,0.00014683309807834855,0.03390693664550781,corr,40,5,8
535,-34.111751556396484,-34.50000000000165,0.3882484436051641,0.15073685396183228,0.00014683309807834855,0.03690981864929199,corr,40,5,8
536,-34.188594818115234,-34.50000000000165,0.3114051818864141,0.09697318730571064,0.00014683309807834855,0.03608202934265137,corr,40,5,8
537,-34.064754486083984,-34.50000000000165,0.4352455139176641,0.18943865738545151,0.00014683309807834855,0.0636439323425293,corr,40,5,8
538,-34.049747467041016,-34.50000000000165,0.45025253296063283,0.20272734343746576,0.00014683309807834855,0.0310819149017334,corr,40,5,8
539,-34.01303482055664,-34.50000000000165,0.48696517944500783,0.2371350859919087,0.00014683309807834855,0.03411674499511719,corr,40,5,8
540,-33.88959503173828,-34.00000000000165,0.11040496826336721,0.01218925701723512,0.00014683309807834855,0.03028106689453125,corr,40,5,8
541,-33.77244567871094,-34.00000000000165,0.22755432129071096,0.05178096913807611,0.00014683309807834855,0.03959178924560547,corr,40,5,8
542,-33.77555847167969,-34.00000000000165,0.22444152832196096,0.0503739996354976,0.00014683309807834855,0.037217140197753906,corr,40,5,8
543,-33.70326232910156,-34.00000000000165,0.29673767090008596,0.08805324533120772,0.00014683309807834855,0.034319162368774414,corr,40,5,8
544,-33.74310302734375,-34.00000000000165,0.25689697265789846,0.06599605456079304,0.00014683309807834855,0.03692197799682617,corr,40,5,8
545,-33.79927062988281,-34.00000000000165,0.20072937011883596,0.040292280028304636,0.00014683309807834855,0.04180407524108887,corr,40,5,8
546,-33.74782180786133,-34.00000000000165,0.25217819214032033,0.06359384059116031,0.00014683309807834855,0.033057212829589844,corr,40,5,8
547,-33.70625686645508,-34.00000000000165,0.29374313354657033,0.08628502850575825,0.00014683309807834855,0.03513598442077637,corr,40,5,8
548,-33.641902923583984,-34.00000000000165,0.3580970764176641,0.12823351613887835,0.00014683309807834855,0.03286910057067871,corr,40,5,8
549,-33.38332748413086,-33.500000000001656,0.11667251587079619,0.013612475959621189,0.00014683309807834855,0.040995121002197266,corr,40,5,8
550,-33.13362503051758,-33.500000000001656,0.36637496948407744,0.13423061826445867,0.00014683309807834855,0.03549528121948242,corr,40,5,8
551,-33.127079010009766,-33.500000000001656,0.37292098999188994,0.13907006477653128,0.00014683309807834855,0.028779029846191406,corr,40,5,8
552,-33.22944259643555,-33.500000000001656,0.2705574035661087,0.0732013086244342,0.00014683309807834855,0.03303384780883789,corr,40,5,8
553,-33.46710205078125,-34.00000000000165,0.5328979492203985,0.2839802242833064,0.00014683309807834855,0.03650307655334473,corr,40,5,8
554,-33.681968688964844,-34.00000000000165,0.3180313110368047,0.10114391479978882,0.00014683309807834855,0.03319287300109863,corr,40,5,8
555,-33.7360954284668,-34.00000000000165,0.2639045715348516,0.0696456228769936,0.00014683309807834855,0.040284156799316406,corr,40,5,8
556,-33.6727409362793,-34.00000000000165,0.3272590637223516,0.10709849478843017,0.00014683309807834855,0.03494000434875488,corr,40,5,8
557,-33.55095291137695,-34.00000000000165,0.44904708862469533,0.201643287802315,0.00014683309807834855,0.03908705711364746,corr,40,5,8
558,-33.41190719604492,-34.00000000000165,0.5880928039567266,0.34585314606568485,0.00014683309807834855,0.04679512977600098,corr,40,5,8
559,-33.3356819152832,-34.00000000000165,0.6643180847184453,0.4413185176839835,0.00014683309807834855,0.038496971130371094,corr,40,5,8
560,-33.159202575683594,-33.500000000001656,0.3407974243180618,0.11614288442182508,0.00014683309807834855,0.037940025329589844,corr,40,5,8
561,-33.08242416381836,-33.500000000001656,0.4175758361832962,0.174369578964179,0.00014683309807834855,0.03936004638671875,corr,40,5,8
562,-32.98860168457031,-33.500000000001656,0.5113983154313431,0.26152823702601546,0.00014683309807834855,0.033811092376708984,corr,40,5,8
563,-32.939701080322266,-33.500000000001656,0.5602989196793899,0.3139348793938915,0.00014683309807834855,0.037668704986572266,corr,40,5,8
564,-32.954994201660156,-33.500000000001656,0.5450057983414993,0.29703132022585504,0.00014683309807834855,0.035444021224975586,corr,40,5,8
565,-33.102264404296875,-33.500000000001656,0.39773559570478056,0.15819360409063665,0.00014683309807834855,0.03610801696777344,corr,40,5,8
566,-33.261077880859375,-33.500000000001656,0.23892211914228056,0.05708377901543811,0.00014683309807834855,0.03980207443237305,corr,40,5,8
567,-33.420806884765625,-33.500000000001656,0.07919311523603056,0.006271549500787216,0.00014683309807834855,0.03654599189758301,corr,40,5,8
568,-33.53762435913086,-33.500000000001656,0.03762435912920381,0.001415592399883302,0.00014683309807834855,0.035156965255737305,corr,40,5,8
569,-33.66804122924805,-34.00000000000165,0.3319587707536016,0.11019662548024221,0.00014683309807834855,0.03844189643859863,corr,40,5,8
570,-33.72058868408203,-34.00000000000165,0.2794113159196172,0.07807068346393213,0.00014683309807834855,0.036077022552490234,corr,40,5,8
571,-33.64574432373047,-34.00000000000165,0.3542556762711797,0.12549708417035088,0.00014683309807834855,0.03635978698730469,corr,40,5,8
572,-33.52460861206055,-33.500000000001656,0.02460861205889131,0.0006055837874650108,0.00014683309807834855,0.03701186180114746,corr,40,5,8
573,-33.35613250732422,-33.500000000001656,0.14386749267743681,0.020697855449292337,0.00014683309807834855,0.03705024719238281,corr,40,5,8
574,-33.17348098754883,-33.500000000001656,0.32651901245282744,0.10661466549316968,0.00014683309807834855,0.03677487373352051,corr,40,5,8
575,-33.060855865478516,-33.500000000001656,0.43914413452313994,0.19284757088607762,0.00014683309807834855,0.042083024978637695,corr,40,5,8
576,-32.950279235839844,-33.500000000001656,0.5497207641618118,0.30219291855064634,0.00014683309807834855,0.07990884780883789,corr,40,5,8
