slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,selection_method,n_select,group_size,num_groups
500,-33.88652038574219,-34.00000000000165,0.11347961425946096,0.012877622852476055,5.416640316147402e-05,0.008156776428222656,corr,10,5,2
501,-33.877830505371094,-34.00000000000165,0.12216949463055471,0.014925385418285135,5.416640316147402e-05,0.009505033493041992,corr,10,5,2
502,-33.883541107177734,-34.00000000000165,0.11645889282391408,0.013562673717771907,5.416640316147402e-05,0.007917165756225586,corr,10,5,2
503,-33.85822677612305,-34.00000000000165,0.14177322387860158,0.020099647008932086,5.416640316147402e-05,0.00762486457824707,corr,10,5,2
504,-33.84235763549805,-34.00000000000165,0.15764236450360158,0.024851115086286384,5.416640316147402e-05,0.008698225021362305,corr,10,5,2
505,-33.807735443115234,-34.00000000000165,0.19226455688641408,0.03696565983472916,5.416640316147402e-05,0.009871959686279297,corr,10,5,2
506,-33.795738220214844,-34.00000000000165,0.2042617797868047,0.0417228746816731,5.416640316147402e-05,0.016434192657470703,corr,10,5,2
507,-33.83460235595703,-34.00000000000165,0.1653976440446172,0.0273563806555099,5.416640316147402e-05,0.015452861785888672,corr,10,5,2
508,-33.89186096191406,-34.00000000000165,0.10813903808758596,0.011694051558508367,5.416640316147402e-05,0.011515140533447266,corr,10,5,2
509,-34.0220832824707,-34.00000000000165,0.022083282469054666,0.00048767136460805714,5.416640316147402e-05,0.01691269874572754,corr,10,5,2
510,-34.12320327758789,-34.00000000000165,0.12320327758624217,0.015179047607992642,5.416640316147402e-05,0.008280038833618164,corr,10,5,2
511,-34.17283248901367,-34.00000000000165,0.17283248901202342,0.029871069258091194,5.416640316147402e-05,0.008169174194335938,corr,10,5,2
512,-34.11895751953125,-34.00000000000165,0.11895751952960154,0.014150891452635532,5.416640316147402e-05,0.011641263961791992,corr,10,5,2
513,-34.0816535949707,-34.00000000000165,0.08165359496905467,0.006667309571370429,5.416640316147402e-05,0.014116764068603516,corr,10,5,2
514,-34.07500457763672,-34.00000000000165,0.07500457763507029,0.0056256866662152865,5.416640316147402e-05,0.019213199615478516,corr,10,5,2
515,-34.01908874511719,-34.00000000000165,0.01908874511553904,0.0003643801900860156,5.416640316147402e-05,0.018864870071411133,corr,10,5,2
516,-34.044273376464844,-34.00000000000165,0.04427337646319529,0.0019601318634518148,5.416640316147402e-05,0.014129161834716797,corr,10,5,2
517,-34.074462890625,-34.00000000000165,0.07446289062335154,0.005544722079985215,5.416640316147402e-05,0.016223907470703125,corr,10,5,2
518,-34.01463317871094,-34.00000000000165,0.01463317870928904,0.00021412991913799008,5.416640316147402e-05,0.013043880462646484,corr,10,5,2
519,-34.01240158081055,-34.00000000000165,0.012401580808898416,0.0001537992065596375,5.416640316147402e-05,0.02695608139038086,corr,10,5,2
520,-34.03046798706055,-34.00000000000165,0.030467987058898416,0.0009282982354212013,5.416640316147402e-05,0.011128664016723633,corr,10,5,2
521,-33.93861389160156,-34.00000000000165,0.06138610840008596,0.003768254304507104,5.416640316147402e-05,0.01643514633178711,corr,10,5,2
522,-33.94306182861328,-34.00000000000165,0.05693817138836721,0.0032419553610510783,5.416640316147402e-05,0.0173032283782959,corr,10,5,2
523,-34.03193664550781,-34.00000000000165,0.03193664550616404,0.0010199493261863878,5.416640316147402e-05,0.00944209098815918,corr,10,5,2
524,-34.09303283691406,-34.00000000000165,0.09303283691241404,0.008655108743971828,5.416640316147402e-05,0.00976109504699707,corr,10,5,2
525,-34.13325500488281,-34.00000000000165,0.13325500488116404,0.01775689632587905,5.416640316147402e-05,0.02126002311706543,corr,10,5,2
526,-34.20838165283203,-34.00000000000165,0.2083816528303828,0.04342291323632218,5.416640316147402e-05,0.014823198318481445,corr,10,5,2
527,-34.17990493774414,-34.00000000000165,0.17990493774249217,0.032365786624129984,5.416640316147402e-05,0.014635086059570312,corr,10,5,2
528,-34.24469757080078,-34.50000000000165,0.2553024292008672,0.06517933035586382,5.416640316147402e-05,0.013300895690917969,corr,10,5,2
529,-34.187381744384766,-34.50000000000165,0.31261825561688283,0.0977301737449427,5.416640316147402e-05,0.013421058654785156,corr,10,5,2
530,-34.1593017578125,-34.50000000000165,0.34069824218914846,0.11607529223077566,5.416640316147402e-05,0.013690948486328125,corr,10,5,2
531,-34.16381072998047,-34.50000000000165,0.3361892700211797,0.11302322527737368,5.416640316147402e-05,0.011243104934692383,corr,10,5,2
532,-34.28912353515625,-34.50000000000165,0.21087646484539846,0.04446888342569257,5.416640316147402e-05,0.01903986930847168,corr,10,5,2
533,-34.09742736816406,-34.00000000000165,0.09742736816241404,0.009492092067054569,5.416640316147402e-05,0.010818958282470703,corr,10,5,2
534,-34.056190490722656,-34.00000000000165,0.05619049072100779,0.0031573712474676626,5.416640316147402e-05,0.010622978210449219,corr,10,5,2
535,-34.13847732543945,-34.50000000000165,0.36152267456219533,0.130698644222603,5.416640316147402e-05,0.012518167495727539,corr,10,5,2
536,-34.27254104614258,-34.50000000000165,0.22745895385907033,0.05173757569066269,5.416640316147402e-05,0.008069992065429688,corr,10,5,2
537,-34.16748046875,-34.50000000000165,0.33251953125164846,0.11056923866381602,5.416640316147402e-05,0.01587200164794922,corr,10,5,2
538,-34.20294189453125,-34.50000000000165,0.29705810547039846,0.08824351802566237,5.416640316147402e-05,0.013584136962890625,corr,10,5,2
539,-34.19118118286133,-34.50000000000165,0.30881881714032033,0.0953690618199466,5.416640316147402e-05,0.01902914047241211,corr,10,5,2
540,-34.09088897705078,-34.00000000000165,0.09088897704913279,0.008260806149037786,5.416640316147402e-05,0.01385807991027832,corr,10,5,2
541,-34.00645065307617,-34.00000000000165,0.006450653074523416,4.16109250878584e-05,5.416640316147402e-05,0.009721994400024414,corr,10,5,2
542,-34.044639587402344,-34.00000000000165,0.04463958740069529,0.0019926927633043138,5.416640316147402e-05,0.016421079635620117,corr,10,5,2
543,-33.99673080444336,-34.00000000000165,0.003269195558289084,1.0687639598337077e-05,5.416640316147402e-05,0.010604143142700195,corr,10,5,2
544,-34.02252960205078,-34.00000000000165,0.02252960204913279,0.0005075829684922884,5.416640316147402e-05,0.007745027542114258,corr,10,5,2
545,-34.07189178466797,-34.00000000000165,0.07189178466632029,0.005168428702508565,5.416640316147402e-05,0.012584924697875977,corr,10,5,2
546,-34.010475158691406,-34.00000000000165,0.01047515868975779,0.00010972894957560816,5.416640316147402e-05,0.017450809478759766,corr,10,5,2
547,-33.94097137451172,-34.00000000000165,0.05902862548992971,0.0034843786272303794,5.416640316147402e-05,0.013845205307006836,corr,10,5,2
548,-33.89232635498047,-34.00000000000165,0.10767364502117971,0.011593613832147017,5.416640316147402e-05,0.014350175857543945,corr,10,5,2
549,-33.8104362487793,-33.500000000001656,0.3104362487776413,0.0963706645551336,5.416640316147402e-05,0.01662731170654297,corr,10,5,2
550,-33.7406120300293,-33.500000000001656,0.2406120300276413,0.057894148994022565,5.416640316147402e-05,0.012130022048950195,corr,10,5,2
