slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,selection_method,n_select,group_size,num_groups
500,-33.68857955932617,-34.00000000000165,0.3114204406754766,0.09698269087050804,5.666204245693712e-05,0.006316184997558594,fim,10,5,2
501,-33.685096740722656,-34.00000000000165,0.3149032592789922,0.0991640627045322,5.666204245693712e-05,0.010125160217285156,fim,10,5,2
502,-33.665687561035156,-34.00000000000165,0.3343124389664922,0.11176480684772458,5.666204245693712e-05,0.0064618587493896484,fim,10,5,2
503,-33.69021224975586,-34.00000000000165,0.3097877502457891,0.0959684502023474,5.666204245693712e-05,0.01030111312866211,fim,10,5,2
504,-33.76420593261719,-34.00000000000165,0.23579406738446096,0.055598842213707714,5.666204245693712e-05,0.011180877685546875,fim,10,5,2
505,-33.774288177490234,-34.00000000000165,0.22571182251141408,0.050945826821424095,5.666204245693712e-05,0.006237983703613281,fim,10,5,2
506,-33.76976013183594,-34.00000000000165,0.23023986816571096,0.05301039689296396,5.666204245693712e-05,0.015643835067749023,fim,10,5,2
507,-33.851593017578125,-34.00000000000165,0.14840698242352346,0.022024632432056,5.666204245693712e-05,0.006319999694824219,fim,10,5,2
508,-34.04950714111328,-34.00000000000165,0.04950714111163279,0.0024509570210471216,5.666204245693712e-05,0.0075719356536865234,fim,10,5,2
509,-34.159934997558594,-34.50000000000165,0.3400650024430547,0.11564420588659481,5.666204245693712e-05,0.01019287109375,fim,10,5,2
510,-34.24723434448242,-34.50000000000165,0.2527656555192266,0.06389047661006432,5.666204245693712e-05,0.007361173629760742,fim,10,5,2
511,-34.27315902709961,-34.50000000000165,0.22684097290203908,0.05145682698714363,5.666204245693712e-05,0.00641632080078125,fim,10,5,2
512,-34.29475784301758,-34.50000000000165,0.20524215698407033,0.04212434300347377,5.666204245693712e-05,0.008471012115478516,fim,10,5,2
513,-34.316009521484375,-34.50000000000165,0.18399047851727346,0.03385249618501527,5.666204245693712e-05,0.008280277252197266,fim,10,5,2
514,-34.367210388183594,-34.50000000000165,0.1327896118180547,0.017633081006789654,5.666204245693712e-05,0.00691986083984375,fim,10,5,2
515,-34.34694290161133,-34.50000000000165,0.15305709839032033,0.0234264753676642,5.666204245693712e-05,0.0062160491943359375,fim,10,5,2
516,-34.395694732666016,-34.50000000000165,0.10430526733563283,0.010879588793957834,5.666204245693712e-05,0.0071179866790771484,fim,10,5,2
517,-34.39398956298828,-34.50000000000165,0.10601043701336721,0.011238212755765097,5.666204245693712e-05,0.010277032852172852,fim,10,5,2
518,-34.34231185913086,-34.00000000000165,0.3423118591292109,0.11717740890049674,5.666204245693712e-05,0.006498813629150391,fim,10,5,2
519,-34.304927825927734,-34.00000000000165,0.3049278259260859,0.09298097902400936,5.666204245693712e-05,0.008666753768920898,fim,10,5,2
520,-34.2877311706543,-34.00000000000165,0.2877311706526484,0.08278922656514348,5.666204245693712e-05,0.006783008575439453,fim,10,5,2
521,-34.1722526550293,-34.00000000000165,0.17225265502764842,0.02967097716407405,5.666204245693712e-05,0.007142066955566406,fim,10,5,2
522,-34.12922286987305,-34.00000000000165,0.12922286987139842,0.016698550097800368,5.666204245693712e-05,0.009493112564086914,fim,10,5,2
523,-34.10643005371094,-34.00000000000165,0.10643005370928904,0.01132735633256215,5.666204245693712e-05,0.016045808792114258,fim,10,5,2
524,-34.128761291503906,-34.00000000000165,0.1287612915022578,0.016579470189329405,5.666204245693712e-05,0.010399341583251953,fim,10,5,2
525,-34.09067153930664,-34.00000000000165,0.09067153930499217,0.00822132803993674,5.666204245693712e-05,0.006627082824707031,fim,10,5,2
526,-34.10515594482422,-34.00000000000165,0.10515594482257029,0.011057772731527447,5.666204245693712e-05,0.00658106803894043,fim,10,5,2
527,-34.062744140625,-34.00000000000165,0.06274414062335154,0.003936827182562913,5.666204245693712e-05,0.008931159973144531,fim,10,5,2
528,-34.12728500366211,-34.50000000000165,0.3727149963395391,0.13891646849638264,5.666204245693712e-05,0.014136075973510742,fim,10,5,2
529,-34.117218017578125,-34.50000000000165,0.38278198242352346,0.1465220460680826,5.666204245693712e-05,0.006381988525390625,fim,10,5,2
530,-34.147674560546875,-34.50000000000165,0.35232543945477346,0.12413321528699924,5.666204245693712e-05,0.006453037261962891,fim,10,5,2
531,-34.17138671875,-34.50000000000165,0.32861328125164846,0.10798668861497501,5.666204245693712e-05,0.006645917892456055,fim,10,5,2
532,-34.31416320800781,-34.50000000000165,0.18583679199383596,0.034535313258560255,5.666204245693712e-05,0.009860038757324219,fim,10,5,2
533,-34.21315002441406,-34.50000000000165,0.28684997558758596,0.08228290849459866,5.666204245693712e-05,0.008223295211791992,fim,10,5,2
534,-34.260719299316406,-34.50000000000165,0.2392807006852422,0.05725525372042047,5.666204245693712e-05,0.006247043609619141,fim,10,5,2
535,-34.39668655395508,-34.50000000000165,0.10331344604657033,0.0106736681340176,5.666204245693712e-05,0.00952601432800293,fim,10,5,2
536,-34.50383758544922,-34.50000000000165,0.003837585447570291,1.472706206740327e-05,5.666204245693712e-05,0.0066339969635009766,fim,10,5,2
537,-34.39872741699219,-34.50000000000165,0.10127258300946096,0.01025613606940816,5.666204245693712e-05,0.006522655487060547,fim,10,5,2
538,-34.39768600463867,-34.50000000000165,0.10231399536297658,0.010468153647135194,5.666204245693712e-05,0.006387948989868164,fim,10,5,2
539,-34.371822357177734,-34.50000000000165,0.12817764282391408,0.016429508119894895,5.666204245693712e-05,0.010379791259765625,fim,10,5,2
540,-34.26544189453125,-34.00000000000165,0.26544189452960154,0.0704593993714641,5.666204245693712e-05,0.0062520503997802734,fim,10,5,2
541,-34.18178176879883,-34.00000000000165,0.18178176879717967,0.03304461146703128,5.666204245693712e-05,0.006271839141845703,fim,10,5,2
542,-34.180206298828125,-34.00000000000165,0.18020629882647654,0.03247431013673736,5.666204245693712e-05,0.006448984146118164,fim,10,5,2
543,-34.113765716552734,-34.00000000000165,0.11376571655108592,0.012942638262382023,5.666204245693712e-05,0.010892868041992188,fim,10,5,2
544,-34.13164520263672,-34.00000000000165,0.1316452026350703,0.017330459376828717,5.666204245693712e-05,0.014272689819335938,fim,10,5,2
545,-34.136356353759766,-34.00000000000165,0.13635635375811717,0.018593055210208792,5.666204245693712e-05,0.008054018020629883,fim,10,5,2
546,-34.03303909301758,-34.00000000000165,0.033039093015929666,0.0010915816673152524,5.666204245693712e-05,0.007806062698364258,fim,10,5,2
547,-33.95420455932617,-34.00000000000165,0.045795440675476584,0.0020972223866610952,5.666204245693712e-05,0.011128902435302734,fim,10,5,2
548,-33.82659149169922,-34.00000000000165,0.1734085083024297,0.030070510751673833,5.666204245693712e-05,0.006904125213623047,fim,10,5,2
549,-33.58037185668945,-33.500000000001656,0.08037185668779756,0.00645963534744387,5.666204245693712e-05,0.006647825241088867,fim,10,5,2
550,-33.48967742919922,-33.500000000001656,0.010322570802436815,0.00010655546797132102,5.666204245693712e-05,0.010358810424804688,fim,10,5,2
551,-33.54212188720703,-33.500000000001656,0.042121887205375685,0.0017742533817423918,5.666204245693712e-05,0.006439924240112305,fim,10,5,2
552,-33.64745330810547,-34.00000000000165,0.3525466918961797,0.12428916996693987,5.666204245693712e-05,0.007421016693115234,fim,10,5,2
553,-33.85204315185547,-34.00000000000165,0.1479568481461797,0.02189122891335168,5.666204245693712e-05,0.009470939636230469,fim,10,5,2
554,-34.03754425048828,-34.00000000000165,0.03754425048663279,0.0014095707446030266,5.666204245693712e-05,0.006640911102294922,fim,10,5,2
555,-34.101924896240234,-34.00000000000165,0.10192489623858592,0.010388684473246505,5.666204245693712e-05,0.00989389419555664,fim,10,5,2
556,-34.069705963134766,-34.00000000000165,0.06970596313311717,0.004858921296315489,5.666204245693712e-05,0.00660395622253418,fim,10,5,2
557,-33.96762466430664,-34.00000000000165,0.032375335695007834,0.0010481623613644484,5.666204245693712e-05,0.009656906127929688,fim,10,5,2
558,-33.839820861816406,-34.00000000000165,0.1601791381852422,0.02565735630976692,5.666204245693712e-05,0.01381993293762207,fim,10,5,2
