slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,n_select,group_size,num_groups
500,-33.78022384643555,-34.00000000000165,0.21977615356610158,0.04830155767631067,5.549407867063959e-05,0.015460729598999023,10,5,2
501,-33.7404899597168,-34.00000000000165,0.2595100402848516,0.06734546100864529,5.549407867063959e-05,0.008181095123291016,10,5,2
502,-33.7569580078125,-34.00000000000165,0.24304199218914846,0.0590694099672701,5.549407867063959e-05,0.012480974197387695,10,5,2
503,-33.80095672607422,-34.00000000000165,0.1990432739274297,0.03961822489574982,5.549407867063959e-05,0.008096933364868164,10,5,2
504,-33.8395881652832,-34.00000000000165,0.16041183471844533,0.025731956717737824,5.549407867063959e-05,0.009906291961669922,10,5,2
505,-33.83726501464844,-34.00000000000165,0.16273498535321096,0.026482675457909787,5.549407867063959e-05,0.013940811157226562,10,5,2
506,-33.87110137939453,-34.00000000000165,0.1288986206071172,0.016614854394417542,5.549407867063959e-05,0.01926279067993164,10,5,2
507,-33.945770263671875,-34.00000000000165,0.05422973632977346,0.0029408643023967514,5.549407867063959e-05,0.00894021987915039,10,5,2
508,-34.092529296875,-34.00000000000165,0.09252929687335154,0.008561670779876823,5.549407867063959e-05,0.009613990783691406,10,5,2
509,-34.221805572509766,-34.00000000000165,0.22180557250811717,0.04919771199565362,5.549407867063959e-05,0.012789011001586914,10,5,2
510,-34.298667907714844,-34.00000000000165,0.2986679077131953,0.08920251909777774,5.549407867063959e-05,0.008580207824707031,10,5,2
511,-34.34751510620117,-34.00000000000165,0.3475151061995234,0.12076674903686604,5.549407867063959e-05,0.00812387466430664,10,5,2
512,-34.364219665527344,-34.00000000000165,0.3642196655256953,0.13265596475564936,5.549407867063959e-05,0.015843868255615234,10,5,2
513,-34.34898376464844,-34.00000000000165,0.34898376464678904,0.12178966798704545,5.549407867063959e-05,0.01737189292907715,10,5,2
514,-34.343807220458984,-34.00000000000165,0.3438072204573359,0.11820340483859917,5.549407867063959e-05,0.011826038360595703,10,5,2
515,-34.31931686401367,-34.00000000000165,0.3193168640120234,0.10196325964247306,5.549407867063959e-05,0.010882854461669922,10,5,2
516,-34.320682525634766,-34.00000000000165,0.32068252563311717,0.10283728224643485,5.549407867063959e-05,0.014333009719848633,10,5,2
517,-34.31133270263672,-34.00000000000165,0.3113327026350703,0.0969280517300571,5.549407867063959e-05,0.008187055587768555,10,5,2
518,-34.23256301879883,-34.00000000000165,0.23256301879717967,0.05408555771205734,5.549407867063959e-05,0.00834202766418457,10,5,2
519,-34.193668365478516,-34.00000000000165,0.19366836547686717,0.03750743578648139,5.549407867063959e-05,0.017135143280029297,10,5,2
520,-34.18193435668945,-34.00000000000165,0.18193435668780467,0.03310011014340533,5.549407867063959e-05,0.011319637298583984,10,5,2
521,-34.072914123535156,-34.00000000000165,0.07291412353350779,0.005316469410659635,5.549407867063959e-05,0.011881828308105469,10,5,2
522,-34.04158020019531,-34.00000000000165,0.04158020019366404,0.0017289130481451791,5.549407867063959e-05,0.01314687728881836,10,5,2
523,-34.0905647277832,-34.00000000000165,0.09056472778155467,0.0082019699181471,5.549407867063959e-05,0.07275104522705078,10,5,2
524,-34.131229400634766,-34.00000000000165,0.13122940063311717,0.01722115559052717,5.549407867063959e-05,0.01702594757080078,10,5,2
525,-34.156494140625,-34.00000000000165,0.15649414062335154,0.024490416049441327,5.549407867063959e-05,0.01419687271118164,10,5,2
526,-34.247501373291016,-34.00000000000165,0.24750137328936717,0.06125692978012267,5.549407867063959e-05,0.01833486557006836,10,5,2
527,-34.24858474731445,-34.00000000000165,0.24858474731280467,0.061794376596570944,5.549407867063959e-05,0.014526844024658203,10,5,2
528,-34.32844924926758,-34.50000000000165,0.17155075073407033,0.029429660077423134,5.549407867063959e-05,0.01443791389465332,10,5,2
529,-34.268043518066406,-34.50000000000165,0.2319564819352422,0.053803809511774346,5.549407867063959e-05,0.013458967208862305,10,5,2
530,-34.21272659301758,-34.50000000000165,0.28727340698407033,0.08252601036023531,5.549407867063959e-05,0.02042412757873535,10,5,2
531,-34.17192077636719,-34.50000000000165,0.32807922363446096,0.10763597698059064,5.549407867063959e-05,0.016405105590820312,10,5,2
532,-34.309791564941406,-34.50000000000165,0.1902084350602422,0.03617924876806638,5.549407867063959e-05,0.008515119552612305,10,5,2
533,-34.17331314086914,-34.00000000000165,0.17331314086749217,0.030037444797355182,5.549407867063959e-05,0.012937068939208984,10,5,2
534,-34.20414352416992,-34.00000000000165,0.20414352416827342,0.04167457845984243,5.549407867063959e-05,0.014307022094726562,10,5,2
535,-34.27872848510742,-34.50000000000165,0.22127151489422658,0.04896108330358594,5.549407867063959e-05,0.015620708465576172,10,5,2
536,-34.33620071411133,-34.50000000000165,0.16379928589032033,0.026830206058178895,5.549407867063959e-05,0.015948057174682617,10,5,2
537,-34.19916915893555,-34.50000000000165,0.3008308410661016,0.09049919493653807,5.549407867063959e-05,0.01261591911315918,10,5,2
538,-34.183349609375,-34.50000000000165,0.31665039062664846,0.10026746988400906,5.549407867063959e-05,0.008480072021484375,10,5,2
539,-34.13351058959961,-34.50000000000165,0.3664894104020391,0.13431448793683423,5.549407867063959e-05,0.009525299072265625,10,5,2
540,-34.00956344604492,-34.00000000000165,0.009563446043273416,9.145950022260195e-05,5.549407867063959e-05,0.01817774772644043,10,5,2
541,-33.90549850463867,-34.00000000000165,0.09450149536297658,0.008930532625838684,5.549407867063959e-05,0.015578031539916992,10,5,2
542,-33.91507339477539,-34.00000000000165,0.08492660522625783,0.007212528275256644,5.549407867063959e-05,0.01215815544128418,10,5,2
543,-33.85649871826172,-34.00000000000165,0.1435012817399297,0.020592617861002683,5.549407867063959e-05,0.01534724235534668,10,5,2
544,-33.882328033447266,-34.00000000000165,0.11767196655438283,0.013846691712775793,5.549407867063959e-05,0.011959075927734375,10,5,2
